,Reaction 1,Reaction2
741,HMR_2633,HMR_3595
742,HMR_2633,HMR_3580
743,HMR_2633,HMR_2830
744,HMR_2633,HMR_3594
745,HMR_3579,HMR_2633
746,HMR_3631,HMR_2633
747,HMR_3570,HMR_2633
748,HMR_2899,HMR_2633
749,HMR_3541,HMR_2633
750,HMR_2633,HMR_3591
751,HMR_2633,HMR_2920
752,HMR_2633,HMR_0319
753,HMR_2633,HMR_3644
754,HMR_2633,HMR_3559
755,HMR_2633,HMR_3626
756,HMR_2633,HMR_3642
757,HMR_2836,HMR_2633
758,HMR_2785,HMR_2526
759,HMR_2633,HMR_3625
760,HMR_2328,HMR_3569
761,HMR_2672,HMR_2633
762,HMR_3574,HMR_2633
763,HMR_0289,HMR_2633
764,HMR_2633,HMR_2812
765,HMR_2844,HMR_2633
766,HMR_2633,HMR_2651
767,HMR_3650,HMR_2633
768,HMR_2633,HMR_0301
769,HMR_3553,HMR_2633
770,HMR_2486,RE3120R
771,HMR_0365,HMR_2633
772,HMR_0421,HMR_2633
773,HMR_2633,HMR_0255
774,HMR_3643,HMR_2633
775,HMR_3652,HMR_2633
776,HMR_3566,HMR_2633
777,HMR_2909,HMR_2633
778,HMR_2633,HMR_2850
779,HMR_2832,HMR_2633
780,HMR_2633,HMR_3587
781,HMR_2633,HMR_2932
782,HMR_3562,HMR_2633
783,HMR_2633,HMR_0413
784,HMR_2633,HMR_3648
785,HMR_2633,HMR_3683
786,HMR_0393,HMR_2633
787,HMR_2633,HMR_0204
788,HMR_3680,HMR_2633
789,HMR_2816,HMR_2633
790,HMR_2633,HMR_2822
791,HMR_2633,HMR_3646
792,HMR_2633,HMR_3674
793,HMR_2633,HMR_3637
794,HMR_2852,HMR_2633
795,HMR_3544,HMR_2633
796,HMR_2633,HMR_0385
797,HMR_3549,HMR_2633
798,HMR_2633,HMR_0323
799,HMR_3660,HMR_2633
800,HMR_3658,HMR_2633
801,HMR_3561,HMR_2633
802,HMR_0437,HMR_2633
803,HMR_2633,HMR_2814
804,HMR_3651,HMR_2633
805,HMR_3552,HMR_2633
806,HMR_3588,HMR_2633
807,HMR_3632,HMR_2633
808,HMR_2328,HMR_2872
809,HMR_3581,HMR_2633
810,HMR_2324,HMR_0301
811,HMR_2328,HMR_2623
812,HMR_0377,HMR_2633
813,HMR_2328,HMR_2824
814,HMR_2859,HMR_2633
815,HMR_2844,HMR_2328
816,HMR_3668,HMR_2324
817,HMR_2328,HMR_3570
818,HMR_3627,HMR_2633
819,HMR_3589,HMR_2326
820,HMR_2633,HMR_3675
821,HMR_2633,HMR_3586
822,HMR_2328,HMR_3682
823,HMR_2248,HMR_3185
824,HMR_2328,HMR_2816
825,RE3121R,HMR_2489
826,HMR_2328,HMR_2614
827,HMR_2328,HMR_3625
828,HMR_2633,HMR_2599
829,HMR_2328,HMR_3648
830,HMR_3668,HMR_2633
831,HMR_2328,HMR_3587
832,HMR_2633,HMR_3640
833,HMR_3641,HMR_2633
834,HMR_2328,HMR_3671
835,HMR_0305,HMR_2633
836,HMR_2856,HMR_2633
837,HMR_2328,HMR_3659
838,HMR_2633,HMR_0381
839,HMR_3558,HMR_2633
840,HMR_2417,RE3168R
841,HMR_3656,HMR_2633
842,HMR_3538,HMR_2633
843,HMR_2602,HMR_3679
844,HMR_0345,HMR_2633
845,HMR_2690,HMR_2633
846,HMR_2633,HMR_3669
847,HMR_3680,HMR_2328
848,HMR_0433,HMR_2633
849,HMR_3567,HMR_2633
850,HMR_2328,HMR_0233
851,HMR_2633,HMR_3639
852,HMR_2693,HMR_2633
853,HMR_2633,HMR_2702
854,HMR_3630,HMR_2633
855,HMR_0200,HMR_2633
856,HMR_3671,HMR_2633
857,HMR_2328,HMR_0401
858,HMR_2838,HMR_2633
859,HMR_2602,HMR_3628
860,HMR_3584,HMR_2633
861,HMR_2633,HMR_3550
862,HMR_3628,HMR_2326
863,HMR_3589,HMR_2633
864,HMR_3628,HMR_2620
865,HMR_3649,HMR_2633
866,HMR_2633,HMR_0297
867,HMR_3560,HMR_2633
868,HMR_0401,HMR_2633
869,HMR_2872,HMR_2633
870,HMR_2894,HMR_2633
871,HMR_2328,HMR_3593
872,HMR_3569,HMR_2633
873,HMR_3564,HMR_2633
874,HMR_3654,HMR_2633
875,RE3163R,HMR_2430
876,HMR_2633,HMR_0353
877,HMR_2328,HMR_2822
878,HMR_3563,HMR_2633
879,HMR_2328,HMR_2908
880,HMR_2633,HMR_2930
881,HMR_2486,RE3122R
882,HMR_2633,HMR_0369
